Accepts Credit Cards,Hygiene_score,Noise Level,Parking,Source,Waiter Service,Wi-Fi,price_range,restaurant_name,restaurant_rating,restaurant_reviewcount
Yes,NA,Average,NO,American,Yes,No,$11-30,Goldies Patio Grill,3.5,15
No,C,Loud,NO,American,NA,No,Under $10,East Broadway Restaurant,3.5,12
NA,NA,NA,NO,American,NA,NA,NA,Happy Eats,3,17
Yes,A,Average,NO,American,Yes,Free,$31-60,Antique Garage Tribeca,4.5,70
NA,NA,NA,NO,American,NA,NA,NA,Museum of Chinese in America,4.5,134
Yes,B,Loud,NO,American,Yes,No,$31-60,Chinese Tuxedo,3.5,185
Yes,A,NA,NO,American,NA,NA,$11-30,Gem,4.5,24
Yes,NA,Quiet,NO,American,Yes,Free,Above $61,Wolfgang Puck,3.5,66
Yes,A,Average,NO,American,NA,No,$31-60,Marc Forgione,4,866
Yes,A,Average,NO,American,Yes,NA,NA,Manhatta,4.5,104
Yes,A,NA,NO,American,Yes,NA,NA,Monk Mcginnâ¿?s,4.5,33
Yes,A,Quiet,NO,American,NA,Free,$11-30,View of the World Terrace Club,4,124
Yes,A,NA,NO,American,NA,No,Under $10,Cafe Gusto,3,9
NA,NA,NA,NO,American,NA,NA,NA,Open Air Cafe,5,1
Yes,NA,NA,NO,American,NA,NA,$11-30,Lochmere Golf Y Country Club Restaurant,2,1
Yes,NA,NA,NO,American,NA,NA,$11-30,applejacks diner,4.5,4
Yes,A,Loud,NO,American,NA,No,Under $10,Subway,3.5,4
NA,NA,NA,NO,American,NA,NA,NA,The Cardinal Club,5,1
Yes,NA,NA,NO,American,Yes,No,$11-30,FERNS,4.5,48
Yes,A,Average,NO,American,Yes,Free,$11-30,The Gray Mare,4.5,53
Yes,A,NA,NO,American,Yes,Free,$11-30,Joe & Patâ¿?s Pizzeria,4,65
Yes,B,Average,NO,American,Yes,Free,$11-30,Carma East,4,201
Yes,A,NA,NO,Indian,NA,NA,NA,indi thai,4.5,31
Yes,NA,Average,NO,Indian,Yes,NA,$11-30,Spice Wala Indian Cuisine,3.5,27
Yes,NA,NA,NO,Indian,NA,No,NA,Frankie Goes To Bollywood,4,13
NA,NA,NA,NO,Indian,NA,NA,NA,Tangra,3.5,26
NA,NA,NA,NO,Indian,NA,NA,NA,Roti in a Box,4,1
Yes,A,Quiet,NO,Indian,Yes,No,$11-30,Chawlas 2,4,75
Yes,A,Average,NO,Indian,No,No,$11-30,Hampton Chutney,4,77
Yes,A,Average,NO,Indian,No,Free,$11-30,The Kati Roll Company,4,71
Yes,A,NA,NO,Indian,NA,No,$31-60,The Bombay Bread Bar,3.5,144
Yes,A,Quiet,NO,Indian,Yes,Paid,$11-30,Kabab Bites,4,78
NA,NA,NA,NO,Indian,NA,NA,NA,Dosa Royale,5,2
Yes,A,Average,NO,Indian,NA,Free,$11-30,Ruchi,3.5,320
No,NA,Average,NO,Indian,NA,No,Under $10,Biryani House Cart,4,151
NA,NA,NA,NO,Indian,NA,NA,NA,The Kati Roll Company,3,15
No,NA,Average,NO,Indian,No,No,Under $10,Indian King Biryani House,4,42
No,NA,Average,NO,Indian,NA,No,Under $10,Bombay Biryany Cart,4.5,5
Yes,NA,NA,NO,Indian,NA,NA,$11-30,Graffitti Earth,3.5,17
No,NA,NA,NO,Indian,NA,No,NA,Mysttik Masaala,5,26
Yes,NA,Quiet,NO,Indian,Yes,Free,$11-30,Tandoori Guys,4,54
Yes,NA,NA,NO,Indian,NA,NA,NA,Tikka Kabab,4.5,38
Yes,NA,Average,NO,Indian,NA,No,$11-30,Desi Wok,3.5,115
Yes,NA,Average,NO,Indian,Yes,No,$11-30,Hard Rock Casino the Buffet,3,12
Yes,A,Average,NO,Indian,NA,No,$11-30,Bawarchi Indian Cuisine,4,98
Yes,A,Average,NO,Indian,No,NA,$11-30,Bawarchi Indian Cuisine,4.5,52
Yes,A,Average,NO,Indian,Yes,No,Above $61,Indian Accent,4.5,425
NA,NA,NA,NO,Indian,NA,NA,NA,Harlem Masala,5,2
NA,NA,NA,NO,Indian,NA,NA,NA,Ajanta Express,5,1
NA,NA,NA,NO,Indian,NA,NA,NA,Karma Indian Cuisine,5,1
Yes,A,NA,NO,Indian,NA,Free,$11-30,Ashoka on 2nd Avenue,4.5,60
Yes,NA,NA,NO,Indian,NA,Free,$11-30,Saar Indian Bistro,4.5,71
NA,NA,NA,NO,Indian,NA,NA,Under $10,Punjab On Third,3.5,4
Yes,A,Average,NO,Indian,Yes,Free,$11-30,Pondicheri,3.5,258
Yes,NA,NA,NO,Indian,NA,NA,NA,Chicken Tikka Masala,5,1
Yes,NA,NA,NO,Indian,NA,NA,NA,Joy of India,5,1
NA,NA,NA,NO,Indian,NA,NA,NA,Cinamon,4,1
Yes,NA,Average,NO,Indian,Yes,No,Under $10,Chawlas 2,4,70
Yes,A,Loud,NO,Indian,NA,No,Under $10,Punjabi Dhaba Catering & Sweets,4.5,18
NA,NA,Average,NO,Indian,NA,NA,NA,Baadshah Indian Restaurant,4.5,9
Yes,NA,NA,NO,Indian,No,No,Under $10,Wok & Grill,4.5,5
NA,NA,NA,NO,French,NA,NA,NA,Windmill,4.5,9
Yes,NA,NA,NO,French,NA,NA,NA,Restaurant Ukiyo,4.5,33
Yes,A,NA,NO,French,NA,NA,NA,La cafette,5,29
Yes,NA,Quiet,NO,French,Yes,No,Above $61,L?Appart,5,78
Yes,A,Average,NO,French,Yes,Free,$11-30,Le District,3.5,453
Yes,B,Average,NO,French,Yes,Free,$31-60,Beaubourg,3,237
Yes,A,Average,NO,French,Yes,Free,$11-30,Tartinery Hudson Eats,4,359
Yes,NA,NA,NO,French,Yes,Free,$11-30,la côôe,4,72
Yes,A,NA,NO,French,NA,NA,NA,Bar  Frites,4,8
Yes,A,NA,NO,French,NA,Free,$11-30,Bar a Vin,3,21
Yes,A,Average,NO,French,Yes,Free,$11-30,BoCaphe,4,967
Yes,A,Average,NO,French,NA,No,$31-60,Bouley Test Kitchen,4.5,23
Yes,A,Average,NO,French,No,Free,Under $10,La Maison du Croque Monsieur,4,304
Yes,A,NA,NO,French,NA,No,$11-30,Caviar House & Prunier,3.5,30
Yes,NA,Loud,NO,French,NA,No,$11-30,Le Grand Comptoir,2.5,42
Yes,A,Loud,NO,French,NA,Paid,$11-30,Au Bon Pain,1.5,4
Yes,NA,NA,NO,French,NA,No,NA,Chateau 49,4.5,27
NA,NA,NA,NO,French,NA,NA,NA,Freeman?s,4,1
Yes,A,NA,NO,French,NA,NA,$11-30,Maman and Mimi Restaurant,3.5,27
Yes,NA,NA,NO,French,NA,Free,NA,Gina Marie?s Trattoria,4.5,6
Yes,A,NA,NO,French,Yes,Free,$11-30,Serengeti Kitchen Harlem,4.5,24
NA,NA,NA,NO,French,NA,NA,NA,Ruby?s Vintage Harlem,5,2
Yes,NA,Quiet,NO,French,Yes,Free,$11-30,Giovanni?s Bicycle Club,4,86
Yes,NA,Average,NO,French,Yes,No,$11-30,Ellington in the Park,3.5,78
Yes,A,Quiet,NO,French,Yes,No,Above $61,Le Bernardin,4.5,2286
Yes,NA,NA,NO,French,NA,No,$11-30,Le Prive,4.5,49
NA,NA,NA,NO,French,NA,NA,NA,Barnea Bistro,5,5
Yes,A,Average,NO,French,Yes,Free,Above $61,Gabriel Kreuther,4.5,315
Yes,A,Average,NO,French,Yes,No,$11-30,Le Pif,4,257
Yes,A,Average,NO,French,Yes,Free,$31-60,Mont Blanc 52,4.5,60
NA,NA,NA,NO,French,NA,NA,NA,Eight And A Half Restaurant,4.5,2
Yes,C,NA,NO,French,Yes,No,$31-60,Amelie,4.5,91
Yes,B,Average,NO,French,Yes,Free,$11-30,Jean Claude 2,4,115
Yes,A,Average,NO,French,Yes,No,$31-60,Little Frog Bistro & Bar,4,154
Yes,A,NA,NO,French,NA,NA,NA,Pitchounette81,4.5,59
Yes,A,NA,NO,French,NA,NA,NA,Bistrot Leo,4,18
Yes,NA,Average,NO,French,Yes,Free,$11-30,Laduréå SoHo Le Restaurant,2.5,23
Yes,NA,NA,NO,Italian,Yes,Free,NA,DIA,5,7
Yes,A,Average,NO,Italian,NA,No,$31-60,Lâ¿?Artusi,4.5,1593
NA,NA,NA,NO,Italian,NA,NA,NA,Bricia,4.5,6
No,NA,NA,NO,Italian,Yes,No,NA,Biga Pizza Italiana Contemporanea,5,3
Yes,NA,NA,NO,Mexico,NA,NA,NA,Borrachito,4.5,15
Yes,NA,NA,NO,Mexico,NA,No,NA,De Mole,5,44
NA,A,NA,NO,Mexico,NA,NA,NA,Holi Mole,4.5,22
Yes,NA,NA,NO,Mexico,NA,No,$11-30,Oxomoco,4,92
Yes,A,Average,NO,Mexico,Yes,No,$11-30,Atla,3.5,197
No,NA,Quiet,NO,Mexico,NA,No,Under $10,Taco Bite Food Truck,4,39
Yes,NA,Average,NO,Mexico,NA,No,$11-30,Jicama NYC,2.5,13
Yes,A,Average,NO,Mexico,NA,No,Under $10,El Toro Mexican Grill,3,98
Yes,A,Average,NO,Japanese,No,Free,$11-30,Wasabi Sushi & Bento,4,107
Yes,A,Average,NO,Japanese,Yes,No,$11-30,Kuu Ramen,3.5,510
Yes,NA,Average,Private Lot,Japanese,Yes,No,$11-30,Akira Sushi Bar,4.5,79
Yes,NA,Average,Private Lot,Japanese,Yes,NA,$11-30,Sakura,4,34
Yes,NA,Quiet,Private Lot,Japanese,NA,No,$11-30,Memories Of Japan,4,68
Yes,NA,Average,Private Lot,Japanese,NA,No,$11-30,Tokyo Garden,4,55
Yes,NA,Quiet,Private Lot,Japanese,Yes,No,$11-30,"Sura,Korean and Japanese Cuisine",4.5,74
Yes,NA,Average,Private Lot,Japanese,Yes,No,$11-30,Sushi Hana,4.5,73
Yes,NA,Quiet,Private Lot,Japanese,NA,No,$11-30,Sushi House,4,58
Yes,NA,Average,Private Lot,Japanese,Yes,Free,$11-30,Roka,4,129
Yes,NA,NA,Private Lot,Japanese,Yes,Free,$11-30,Caribbean Sushi,4.5,36
Yes,NA,Loud,Private Lot,Japanese,NA,No,$11-30,Osaka,3,98
Yes,NA,Average,Private Lot,Japanese,Yes,Free,$11-30,Yutaka Grill & Sushi Buffet,3.5,94
Yes,NA,Average,Private Lot,Japanese,NA,No,$11-30,Sushi Hana,4.5,98
Yes,NA,Average,Private Lot,Japanese,Yes,Free,$11-30,Sake 2 Me Sushi,4.5,125
Yes,NA,Average,Private Lot,Japanese,Yes,Free,$11-30,Yokozuna Yale,3.5,113
Yes,NA,Average,Private Lot,Japanese,Yes,No,$11-30,Fuji Sushi Bar,3.5,71
Yes,NA,Average,Private Lot,Japanese,NA,Free,$11-30,The Tropical,4.5,162
Yes,NA,Quiet,Private Lot,Japanese,NA,No,$11-30,Sobahn,3.5,79
Yes,NA,Average,Private Lot,Japanese,Yes,No,$11-30,Keo,4,93
Yes,NA,Average,Private Lot,Chinese,Yes,Free,$11-30,Shanghai Restaurant,4,258
Yes,NA,Average,Private Lot,Chinese,Yes,Free,$11-30,Chan?s Dragon Inn,4,113
Yes,NA,Average,Private Lot,Korean,Yes,No,$11-30,SGD Dubu So Gong Dong Tofu & BBQ,4,122
Yes,NA,Loud,Private Lot,Korean,No,No,$11-30,Mitsuwa Marketplace,4.5,1470
No,NA,Loud,Private Lot,Korean,NA,No,$11-30,Santouka Ramen,4,633
Yes,NA,Average,Private Lot,Korean,Yes,Free,$11-30,Blackbeard Ramen,4.5,424
No,NA,Average,Private Lot,Korean,NA,No,Under $10,Omusubi Gonbei,4,87
No,NA,Loud,Private Lot,Korean,NA,No,Under $10,Oishinbo,3.5,71
Yes,NA,Quiet,Private Lot,Korean,Yes,No,$11-30,Gogi Gui Korean Grill,4.5,80
Yes,NA,Quiet,Private Lot,Korean,NA,No,$11-30,Sobahn,3.5,79
Yes,NA,Quiet,Private Lot,Korean,Yes,No,$11-30,"Sura,Korean and Japanese Cuisine",4.5,74
Yes,NA,Quiet,Private Lot,Korean,NA,No,Under $10,Chopsticks,4,66
Yes,NA,Quiet,Private Lot,Korean,Yes,Free,Under $10,All About Cha Stylish Coffee And Tea,4,54
Yes,NA,Average,Private Lot,Korean,Yes,Free,$11-30,Roka,4,129
Yes,NA,Average,Private Lot,Korean,Yes,No,$11-30,Keo,4,93
Yes,NA,Average,Private Lot,Korean,Yes,No,Under $10,Pho Nhi Vietnamese Noodle House,4,99
Yes,NA,Quiet,Private Lot,Korean,Yes,No,$11-30,GiGi?s Kitchen,4,79
Yes,NA,Average,Private Lot,Korean,Yes,Free,$11-30,Kirin Asian Cuisine & Sushi,4,96
Yes,NA,Average,Private Lot,Korean,NA,Free,$11-30,KEO Restaurant,4,104
Yes,NA,Average,Private Lot,Korean,NA,No,$11-30,Sushi Train,3,102
Yes,NA,Average,Private Lot,Korean,Yes,Free,$11-30,Sake 2 Me Sushi,4.5,125
Yes,NA,Quiet,Private Lot,Korean,NA,No,Under $10,Pei Wei,3.5,49
Yes,NA,Average,Private Lot,Korean,Yes,Free,$11-30,Mandarin Taste,4,134
Yes,NA,Average,Private Lot,Korean,NA,No,Under $10,China Cafe,3.5,23
Yes,NA,Average,Private Lot,Korean,NA,No,$11-30,P.F. Chang?s,3.5,97
Yes,NA,Average,Private Lot,American,NA,Free,$11-30,Mid-American Grille,4,36
Yes,NA,Average,Private Lot,American,Yes,No,Under $10,Clantonâ¿?s Cafe,4,101
Yes,NA,Average,Private Lot,American,Yes,No,$31-60,The Artichoke Restaurant & Bar,4.5,31
Yes,NA,Average,Private Lot,American,NA,No,$11-30,Thomas Restaurant,3.5,20
Yes,NA,Average,Private Lot,American,NA,Free,$11-30,Hammett House Restaurant,3.5,51
Yes,NA,NA,Private Lot,American,NA,No,$11-30,Cracker Barrel Old Country Store,4,27
Yes,NA,Average,Private Lot,American,Yes,Free,$11-30,Bricktown Brewery,4,109
Yes,NA,Loud,Private Lot,American,Yes,No,$11-30,El Royal Restaurant & Club,3.5,4
No,NA,Average,Private Lot,American,NA,No,Under $10,Hugoâ¿?s Family Restaurant,4,56
Yes,NA,Average,Private Lot,Indian,Yes,No,$11-30,Cumin Flavor Of India,4,112
Yes,NA,Average,Private Lot,Indian,Yes,No,$11-30,Himalayas Aroma of India,4,69
Yes,NA,Quiet,Private Lot,Indian,Yes,No,$11-30,Eritrean & Ethiopian Cafe,4.5,78
Yes,NA,Average,Private Lot,French,NA,No,$11-30,Bistro La Source,3,270
Yes,A,Average,Street,Japanese,No,No,$11-30,Takahachi Bakery,4,779
Yes,NA,Average,Street,Japanese,Yes,No,$11-30,Honshu,4,227
Yes,A,Average,Street,Japanese,No,Free,$11-30,Chikarashi,4,454
Yes,C,Average,Street,Japanese,Yes,No,$31-60,DOMODOMO,4,700
Yes,A,Quiet,Street,Japanese,NA,No,Above $61,Hirohisa,4.5,131
Yes,A,Average,Street,Japanese,NA,No,Under $10,Go! Go! Curry!,4,329
Yes,A,Average,Street,Japanese,NA,No,$11-30,Fukurou,4,285
Yes,B,Quiet,Street,Japanese,Yes,No,$31-60,Bohemian Restaurant,4.5,689
Yes,A,Average,Street,Japanese,Yes,Free,$11-30,Zutto Japanese American Pub,4,831
No,B,Average,Street,Japanese,Yes,No,$11-30,Cocoron,4,577
Yes,NA,Quiet,Street,Japanese,Yes,Free,$31-60,Shigure,4,87
No,A,Average,Street,Japanese,Yes,Free,$11-30,Cocoron,4,928
Yes,A,Average,Street,Japanese,NA,No,$31-60,Takahachi Tribeca Restaurant,3.5,212
Yes,NA,Average,Street,Japanese,Yes,No,$11-30,Raku,4.5,125
Yes,NA,Average,Street,Japanese,NA,No,$11-30,Sunrise Mart,4,261
Yes,NA,Average,Street,Japanese,NA,Free,$11-30,Yokozuna,3.5,271
Yes,NA,Average,Street,Japanese,No,Free,$11-30,Roppongi,4,77
Yes,A,Average,Street,Japanese,Yes,Free,$31-60,Juku,4,77
Yes,NA,NA,Street,Japanese,Yes,No,Above $61,Shabushabu Macoron,4.5,44
Yes,A,Average,Street,Japanese,No,Free,$11-30,Ramen Lab,4,292
Yes,A,Average,Street,Japanese,NA,No,$11-30,Ajisen Ramen,3.5,332
Yes,A,Average,Street,Japanese,NA,No,$31-60,Suteishi,4,427
Yes,A,Average,Street,Japanese,NA,Free,$11-30,Bassanova Ramen,3.5,723
Yes,A,Average,Street,Japanese,Yes,No,$11-30,Benemon,4.5,434
No,A,Average,Street,Japanese,Yes,No,$11-30,Raku,4.5,777
Yes,A,Average,Street,Japanese,Yes,No,$11-30,Izakaya,4,231
Yes,A,Loud,Street,Japanese,Yes,No,$11-30,Yakitori Taisho,3.5,1522
No,B,Loud,Street,Chinese,Yes,No,$11-30,Joe?s Shanghai,4,5508
Yes,A,Average,Street,Chinese,NA,No,$11-30,Shanghai 21,4,1437
Yes,A,Average,Street,Chinese,NA,No,Under $10,Noodle Village,4,877
Yes,B,Average,Street,Chinese,NA,No,$11-30,Hop Lee Restaurant,4,256
No,A,Average,Street,Chinese,Yes,No,$11-30,Hop Kee,3.5,741
No,B,Average,Street,Chinese,Yes,No,Under $10,Tasty Hand-Pulled Noodles,4,1450
No,B,Average,Street,Chinese,Yes,No,$11-30,Wo Hop,3.5,1259
Yes,C,Average,Street,Chinese,Yes,No,$11-30,Buddha Bodai Kosher Vegetarian Restaurant,4,881
No,A,Average,Street,Chinese,NA,No,Under $10,Shu Jiao Fu Zhou Cuisine Restaurant,4.5,580
Yes,A,Average,Street,Chinese,Yes,Free,$11-30,21 Shanghai House,4,395
No,A,Average,Street,Chinese,No,No,Under $10,Wah Fung No 1 Fast Food,4.5,1070
Yes,NA,Average,Street,Chinese,NA,Free,$11-30,Fishmarket Restaurant,4.5,464
Yes,A,Average,Street,Chinese,Yes,No,$31-60,Peking Duck House,3.5,772
No,A,Average,Street,Chinese,Yes,No,Under $10,88 Lan Zhou Handmade Noodles,4,1567
No,A,Average,Street,Chinese,Yes,No,Under $10,Taiwan Pork Chop House,4,349
Yes,NA,NA,Street,Chinese,No,Free,NA,Old Xi?an,4,45
Yes,A,Loud,Street,Chinese,NA,Free,$11-30,Ping?s Seafood,3.5,605
Yes,A,Average,Street,Chinese,No,No,Under $10,Taiwan Bear House,4,268
No,B,Average,Street,Chinese,Yes,Free,$11-30,Wok Wok,4,632
Yes,NA,Average,Street,Chinese,Yes,No,Under $10,Asian Spicy Curry Pop-up,4.5,123
No,A,Average,Street,Chinese,Yes,No,$11-30,Nyonya,4,1899
No,NA,Average,Street,Chinese,No,No,Under $10,Sun Hing Lung Co,4.5,152
Yes,A,Average,Street,Chinese,NA,Free,$11-30,Chatham Seafood Restaurant,3.5,182
No,A,Average,Street,Chinese,NA,No,$11-30,Shanghai Asian Cuisine,4,435
No,A,Average,Street,Chinese,Yes,No,Under $10,Cha Chan Tang,3,936
No,A,Loud,Street,Chinese,Yes,No,Under $10,Big Wong,3.5,1329
No,A,Average,Street,Chinese,Yes,No,Under $10,WK Restaurant,4,53
No,A,Average,Street,Chinese,Yes,No,Under $10,Spicy Village,4,550
Yes,B,Average,Street,Chinese,Yes,No,$11-30,Famous Sichuan,3.5,342
No,A,Loud,Street,Chinese,Yes,No,Under $10,Hop Shing Restaurant,3.5,481
No,A,Average,Street,Chinese,NA,No,Under $10,Mee Sum Cafe,3.5,26
Yes,A,Average,Street,Chinese,Yes,No,$11-30,Szechuan Garden,4,219
Yes,NA,Quiet,Street,Chinese,NA,No,Under $10,MoonHouse,3.5,88
Yes,NA,NA,Street,Chinese,Yes,Free,NA,yu kitchen,4,21
Yes,A,Average,Street,Chinese,Yes,Free,$11-30,Happy Hot Hunan,3.5,129
No,A,Quiet,Street,Chinese,NA,No,$11-30,La Preciosa China Restaurant,3,23
Yes,A,Average,Street,Chinese,Yes,Free,$11-30,Han Dynasty,4,482
Yes,A,NA,Street,Chinese,No,No,Under $10,Szechuan Garden Kitchen,4,16
No,A,NA,Street,Chinese,NA,Free,NA,Hung Chow Restaurant,3,4
Yes,NA,Average,Street,Chinese,No,No,Under $10,Spice Noodle,3.5,58
Yes,A,Average,Street,Chinese,Yes,No,$11-30,La Salle Dumpling Room,4,188
No,A,Average,Street,Chinese,NA,No,Under $10,Fu Wing Chinese Restaurant,3,13
Yes,A,Average,Street,Chinese,No,No,Under $10,Xi?an Famous Foods,4,335
Yes,A,Average,Street,Chinese,Yes,No,$11-30,Han Dynasty,4,1067
Yes,A,Average,Street,Chinese,No,Free,$11-30,Dian Kitchen,4.5,83
Yes,A,Average,Street,Chinese,Yes,Free,$11-30,Clay Pot NYC,4.5,175
Yes,NA,NA,Street,Chinese,NA,Free,NA,Uluh,5,11
Yes,A,Average,Street,Chinese,No,No,Under $10,Xi?an Famous Foods,4,1532
Yes,A,Average,Street,Chinese,Yes,No,$11-30,MáÌ Project,4,473
Yes,A,NA,Street,Chinese,Yes,Free,$11-30,Dun Huang,4,68
Yes,NA,NA,Street,Chinese,Yes,Free,NA,Gala BBQ,4,8
Yes,A,Quiet,Street,Chinese,No,No,NA,The Dumpling Shop,4.5,52
Yes,A,Average,Street,Chinese,Yes,No,$31-60,Tuome,4.5,358
Yes,C,Average,Street,Chinese,Yes,Free,$11-30,Hunan Bistro,3.5,190
Yes,B,Average,Street,Chinese,Yes,Free,$11-30,The Bao,3.5,976
Yes,A,Average,Street,Chinese,Yes,No,$11-30,The Tang,4,281
Yes,A,Quiet,Street,Chinese,Yes,Free,$11-30,Ho Foods,4,154
Yes,B,Average,Street,Chinese,Yes,Free,$11-30,Le Sia,4,154
Yes,A,Quiet,Street,Chinese,No,No,$11-30,Just for Fen,4.5,93
Yes,A,Average,Street,Chinese,Yes,Free,$11-30,Tim Ho Wan,3.5,1361
Yes,A,Average,Street,Chinese,NA,Free,$11-30,Hot Kitchen Skewer Hotpot & BBQ,3.5,405
Yes,A,Average,Street,Chinese,NA,No,Under $10,New Double Dragon,4,60
Yes,A,Quiet,Street,Chinese,NA,No,Under $10,A & C Kitchen,3.5,28
Yes,A,Quiet,Street,Chinese,Yes,No,$11-30,Mee Noodle Shop & Grill,3,113
Yes,A,Average,Street,Chinese,NA,No,Under $10,BaoHaus,3.5,1833
Yes,NA,NA,Street,Chinese,Yes,No,$11-30,SHIMIAODAO Yunnan Rice Noodle,4,53
Yes,A,Average,Street,Chinese,Yes,Free,$11-30,Chow House,4.5,157
Yes,A,Average,Street,Chinese,Yes,No,$11-30,Chop Shop II,3.5,197
Yes,A,Average,Street,Chinese,Yes,No,$11-30,Lotus Blue,4,66
Yes,A,Average,Street,Chinese,NA,No,$11-30,Home?s Kitchen Chinese Restaurant,3.5,172
Yes,B,Average,Street,Chinese,Yes,Free,$11-30,Auntie Guan?s Kitchen 108,4,308
Yes,B,Quiet,Street,Chinese,No,No,Under $10,Burp Bowl Cafe,4,173
Yes,NA,Average,Street,Chinese,Yes,No,NA,Chengdu House,3.5,20
Yes,A,Average,Street,Chinese,NA,No,Under $10,Taste Good,3.5,85
Yes,NA,Average,Street,Chinese,Yes,Free,$11-30,The Chinese Club NYC - Desiwala Chinese,3.5,78
Yes,A,Average,Street,Chinese,Yes,No,$11-30,Caf China,4,1250
Yes,A,Average,Street,Chinese,Yes,Free,Under $10,Bao Bao Cafe,4,395
Yes,A,Loud,Street,Chinese,Yes,Free,$31-60,Jue Lan Club,3,256
Yes,A,Average,Street,Chinese,Yes,No,$11-30,Excellent Dumpling House,4,443
Yes,NA,NA,Street,Chinese,Yes,No,NA,Dun Huang -  Grand Central,4,8
Yes,A,Average,Street,Chinese,Yes,No,$11-30,Zest Szechuan,3.5,428
Yes,A,Average,Street,Chinese,No,No,Under $10,Xi?an Famous Foods,4,606
Yes,A,Average,Street,Chinese,Yes,No,$11-30,China Xiang,4,339
Yes,A,Average,Street,Chinese,Yes,No,$31-60,Atoboy,4.5,243
Yes,A,Average,Street,Chinese,Yes,Free,$11-30,Spice Symphony,4,521
Yes,A,NA,Street,Chinese,No,No,Under $10,Auntie Guan?s Kitchen,3.5,122
Yes,A,Quiet,Street,Chinese,Yes,Free,$11-30,Shu Han Ju,3.5,136
Yes,A,Average,Street,Chinese,Yes,Free,$31-60,Buddakan,4,3624
Yes,A,Average,Street,Chinese,No,No,Under $10,Di Di Dumpling,3.5,152
Yes,A,Average,Street,Chinese,No,No,Under $10,Xi?an Famous Foods,4,1430
Yes,C,Average,Street,Chinese,NA,Free,$11-30,La Vie en Szechuan,3.5,399
Yes,A,Average,Street,Chinese,No,No,$11-30,Xi?an Famous Foods,4,148
Yes,B,Average,Street,Chinese,NA,No,$11-30,Uncle Ted?s Modern Chinese Cuisine,4,405
Yes,NA,Average,Street,Chinese,No,Free,$11-30,Junzi Kitchen,4.5,89
Yes,A,Average,Street,Chinese,NA,Free,$11-30,Niu Noodle House,4,617
Yes,A,Average,Street,Chinese,No,Free,Under $10,The Rice Noodle,4,116
Yes,A,Average,Street,Chinese,Yes,No,$11-30,Hao Noodle and Tea By Madam Zhu?s Kitchen,4,478
Yes,A,Average,Street,Chinese,Yes,No,$31-60,Decoy,4.5,345
Yes,A,Quiet,Street,Chinese,Yes,No,$11-30,Great Sichuan,3,178
Yes,NA,Quiet,Street,Chinese,Yes,No,$31-60,Dynasty Dim Sum,4,63
Yes,A,Average,Street,Chinese,No,No,Under $10,Xi?an Famous Foods,4,607
Yes,C,Average,Street,Chinese,Yes,Free,$11-30,Little Alley,4,240
Yes,A,Average,Street,Chinese,NA,Free,$11-30,Hunan Manor,3.5,268
Yes,NA,Average,Street,Chinese,Yes,No,NA,Mi Noodle Bar,4.5,75
Yes,A,Average,Street,Chinese,No,No,$11-30,Yaso Tangbao,4,195
Yes,A,NA,Street,Chinese,Yes,Free,$11-30,Flame,4,72
Yes,A,Average,Street,Chinese,NA,No,$11-30,Shanghai Mong,3,460
Yes,C,Average,Street,Chinese,NA,No,$11-30,Dong Chun Hong,3.5,283
Yes,A,Average,Street,Chinese,NA,Free,$11-30,Asura Asian Bistro,3.5,295
Yes,NA,Average,Street,Chinese,Yes,No,$11-30,Lan Sheng Restaurant,3.5,84
Yes,A,Loud,Street,Chinese,No,No,$11-30,Jian Bing Man,3,118
Yes,A,Average,Street,Chinese,Yes,No,$11-30,Abiko Curry,4,506
Yes,B,Average,Street,Chinese,NA,No,$11-30,Hyo Dong Gak,3.5,379
Yes,A,Average,Street,Chinese,NA,No,$11-30,Main Noodle House,3.5,368
Yes,A,Average,Street,Chinese,Yes,No,$11-30,New Wonjo Restaurant,3.5,1177
Yes,A,Average,Street,Chinese,Yes,No,$11-30,Bonchon - NYC 5th Ave,3.5,958
Yes,A,Average,Street,Chinese,Yes,No,$11-30,ICHIRAN Midtown,3.5,265
Yes,A,Average,Street,Chinese,Yes,Free,$11-30,Norikoh,4,432
Yes,A,Quiet,Street,Chinese,NA,No,$11-30,Chef 28,3,111
Yes,A,Loud,Street,Chinese,NA,Free,$11-30,Japas 38,3.5,261
Yes,NA,Loud,Street,Chinese,NA,Free,Under $10,SeoulFood Truck,3,83
Yes,A,Average,Street,Chinese,Yes,Free,$11-30,wagamama,3.5,595
Yes,B,Quiet,Street,Chinese,NA,NA,Under $10,Hong Kong Noodle 2,2.5,37
Yes,B,Average,Street,Chinese,NA,No,$11-30,Eden Wok,2.5,105
Yes,B,Average,Street,Chinese,Yes,Free,$11-30,Ollie?s Noodle Shop & Grille,3,139
Yes,B,Average,Street,Chinese,NA,No,$11-30,Flor de Mayo,4,504
Yes,A,Average,Street,Chinese,Yes,Free,$11-30,Red Hot Hot Pot,4,50
Yes,A,Average,Street,Chinese,Yes,Free,$11-30,Uncle Luoyang,3.5,107
Yes,A,Average,Street,Chinese,Yes,Free,$11-30,Han Dynasty,4,481
Yes,A,Average,Street,Chinese,No,No,$11-30,108 Food Dried Hot Pot,3.5,109
Yes,A,Average,Street,Chinese,Yes,No,$11-30,Malaysia Grill,4,260
