,Accepts Credit Cards,Alcohol,Bike Parking,Category,Caters,Delivery,Gender Neutral Restrooms,Good For,Good for Groups,Good for Kids,Happy Hour,Has Gluten-free Options,Has Soy-free Options,Has TV,Hygiene_score,Liked by Vegans,Liked by Vegetarians,Noise Level,Outdoor Seating,Parking,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,price_range,restaurant_name,restaurant_neighobrhood,restaurant_rating,restaurant_reviewcount
77,Yes,Full Bar,Yes,Seafood,No,No,Yes,Dinner,Yes,Yes,Yes,,,No,A,,Yes,Average,Yes,Street,No,Yes,,,No,$11-30,The Mermaid Inn,Upper West Side,4,971
78,Yes,No,Yes,Traditional American,No,Yes,Yes,"Breakfast, Brunch",Yes,Yes,,,,No,A,,,Average,No,Street,Yes,No,Yes,,No,Under $10,Broadway Restaurant,Manhattan Valley,4,150
80,Yes,Full Bar,Yes,Bar,Yes,Yes,Yes,Dinner,Yes,Yes,Yes,,,Yes,,,Yes,Average,No,,Yes,Yes,Yes,Yes,Free,$11-30,Kingston,Harlem,4,91
81,Yes,No,No,Japanese,Yes,Yes,,"Lunch, Dinner",Yes,Yes,No,,,No,A,,Yes,Average,No,Street,Yes,No,No,Yes,No,Under $10,Go! Go! Curry!,Harlem,3.5,53
82,Yes,Full Bar,Yes,Italian,Yes,Yes,,Dinner,No,No,Yes,,,No,A,,,Quiet,No,"Garage, Street",Yes,Yes,Yes,Yes,No,$11-30,La Piccola Cucina,Manhattan Valley,4,98
84,Yes,Full Bar,Yes,Italian,Yes,Yes,Yes,Dinner,Yes,Yes,,,,Yes,A,,Yes,Quiet,Yes,Street,Yes,Yes,,,Free,$11-30,Isola on Columbus,Manhattan Valley,4,135
86,Yes,Full Bar,Yes,French,No,Yes,Yes,,Yes,Yes,,,,Yes,A,Yes,Yes,Average,Yes,Street,Yes,Yes,,,No,$11-30,Le Monde,Morningside Heights,3,421
89,Yes,Beer & Wine Only,Yes,New American,No,No,Yes,"Brunch, Dinner, Dessert",No,No,,,,No,A,,,Quiet,No,Street,No,Yes,Yes,Yes,Free,$31-60,Belle Harlem,Harlem,5,97
93,Yes,Full Bar,Yes,Italian,No,Yes,Yes,"Lunch, Dinner",Yes,Yes,Yes,,,No,A,,Yes,Average,Yes,Street,Yes,Yes,Yes,Yes,Free,$11-30,Babbalucci,Harlem,4,315
94,Yes,Full Bar,Yes,Seafood,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,A,Yes,Yes,Average,Yes,"Garage, Street",Yes,Yes,Yes,Yes,Free,$11-30,Savann Mediterranean  Cuisine Restaurant,Harlem,4,174
